Drug	Original Target	Source	Target	Trade name	Type	Use	Tissue	Tissue Hits	Supporting Evidence	Notes	
Siltuximab	IL-6	chimeric	IL6ST		mab	cancer		Brain, Ovary, Prostate, Kidney	[1][2] Siltuximab has been investigated for the treatment of neoplastic diseases:[3] metastatic renal cell cancer,[4] prostate cancer,[5] and Castleman's disease,[6][7] among other types of cancer.[9] There were encouraging results in a small trial for advanced ovarian cancer. This study included HIV-negative and human herpevisrus 8 (Kaposi's sarcoma-associated herpesvirus) seronegative patients aged 20–78 years old with symptomatic multicentric Castleman’s disease (fatigue, malaise, night sweats, peripheral sensory neuropathy, anorexia, pruritus, dyspnea, oedma, hyperhidrosis) [16]. "A phase I/II study of siltuximab (CNTO 328), an anti-interleukin-6 monoclonal antibody, in metastatic renal cell cancer". "The anti-interleukin-6 antibody siltuximab down-regulates genes implicated in tumorigenesis in prostate cancer patients from a phase I study".^ "CNTO 328 Shows Promise For Ovarian Cancer In Small Clinical Trial, Say U		
Sofituzumab vedotin[136]	CA-125	humanized	MUC16		mab	ovarian cancer		Ovary	Sofituzumab vedotin[1] is a monoclonal antibody designed for the treatment of ovarian cancer		
Tabalumab[138]	BAFF	human	TNFRSF13C		mab	B-cell cancers		Blood	Polatuzumab vedotin[1] (DCDS4501A or RG7596) is an antibody-drug conjugate or ADC designed for the treatment of cancer. The Phase I trial investigates the drug in B-cell non-Hodgkin’s lymphoma [4] while the Phase II trials investigates the trial drug for the treatment of patients with relapsed or refractory follicular or diffuse large B-Cell Lymphoma		
Tacatuzumab tetraxetan	alpha-fetoprotein	humanized	AFP	AFP-Cide	mab	cancer		cancer	Yttrium (90Y) tacatuzumab tetraxetan (trade name AFP-Cide) is a humanized monoclonal antibody intended for the treatment of cancer		
Tarextumab[139]	Notch receptor	human	NOTCH2		mab	cancer		Lung, Pancreas	In Jan 2015 the US FDA granted orphan drug designation to tarextumab for the treatment of pancreatic cancer and lung cancer.^ a b "Tarextumab Gets FDA Orphan Drug Designation for Lung, Pancreatic Cancer"		
Tarextumab[139]	Notch receptor	human	NOTCH3		mab	cancer		Lung, Pancreas	In Jan 2015 the US FDA granted orphan drug designation to tarextumab for the treatment of pancreatic cancer and lung cancer.^ a b "Tarextumab Gets FDA Orphan Drug Designation for Lung, Pancreatic Cancer"		
Teprotumumab[140]	IGF-1 receptor (CD221)	human	IGF1R		mab	hematologic tumors		Lung, Breast	Teprotumumab was first investigated for the treatment of solid and hematologic tumors, including breast cancer, Hodgkin's and non-Hodgkin's lymphoma, non-small cell lung cancer and sarcoma		
Tetulomab		humanized	CD37		mab	cancer[141]		Blood	Philogen, a pharmaceutical company specializing in antibody-drug conjugates, is developing it as a conjugate of Iodine-131 to an antibody which binds to fibronectin extra domain-B for treatment of Hodgkin lymphoma		
Ticilimumab	CTLA-4	human	CD80		mab	cancer		Skin-Head, Lung	[2] It has been undergoing human trials for the treatment of various cancers but has not attained approval for any.3 Non-small cell lung cancer. Cytotoxic T lymphocytes (CTLs) can recognize and destroy cancer cells. Tremelimumab turns off this inhibitory mechanism and allows CTLs to continue to destroy the cancer cells.Tremelimumab binds to the protein CTLA-4, which is expressed on the surface of activated T lymphocytes and inhibits the killing of cancer cells.Phase 1 and 2 clinical studies in metastatic melanoma showed some responses.Non-small cell lung cancer[edit].In a phase III trial, AstraZeneca paired tremelimumab with a PD-L1 inhibitor, durvalumab, for the first-line treatment of non-small cell lung cancer. "Targeting metastatic melanoma". "Biologic and immunomodulatory events after CTLA-4 blockade with tremelimumab in patients with advanced malignant melanoma". Cancer.com/biotech/astrazeneca-hit-by-mystic-lung-cancer-pfs-failure.com/media-centre/press-releases/2017/astrazeneca-reports-initial-results-from-the-ongoing-mystic-trial-in-stage-iv-lung-cancer-27072017		
Tigatuzumab[10]	TRAIL-R2	humanized	TNFRSF10B		mab	cancer		Ovary, Lung, Colon-Small_intestine, Pancreas	As of October 2009[update], a clinical trial for the treatment of pancreatic cancer has been completed,[2] Phase II trials for colorectal cancer[3] and non-small cell lung cancer[4] are running, and a study for ovarian cancer has been approved.^ NCI: Combination Therapy Targets Pancreatic Cancer Stem Cells.^ NCI: CS-1008 Used With Irinotecan Versus Irinotecan Alone in Subjects With Metastatic Colorectal Carcinoma Who Failed First-line Treatment With Oxaliplatin.^ NCI: CS-1008 With Carboplatin/Paclitaxel in Chemotherapy naïve Subjects With Metastatic or Unresectable Non-small Cell Lung Cancer (NSCLC).^ NCI: Combination Chemotherapy With CS-1008 to Treat Ovarian Cancer		
TNX-650	IL-13	humanized	IL13RA2		?	Hodgkin's lymphoma		Blood	Seribantumab[1] is a monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Tovetumab[143]	CD140a	human	PDGFRA		mab	cancer		Brain, Lung	[1] It was developed by MedImmune, and trialed for use in glioblastoma and non-small cell lung cancer		
Trastuzumab	HER2/neu	humanized	ERBB2	Herceptin	mab	breast cancer		Breast	Trastuzumab, sold under the brand name Herceptin among others, is a monoclonal antibody used to treat breast cancer.[3] Specifically it is used for breast cancer that is HER2 receptor positive.The safety and efficacy of trastuzumab-containing combination therapies (with chemotherapy, hormone blockers, or lapatinib) for the treatment of metastatic breast cancer.In early stage (curable) HER2-positive breast cancer, trastuzumab-containing regimens improved overall survival (HR = 0.The original studies of trastuzumab showed that it improved overall survival in late-stage (metastatic) HER2-positive breast cancer from 20.[10] In early stage HER2-positive breast cancer, it reduces the risk of cancer returning after surgery.Trastuzumab has had a "major impact in the treatment of HER2-positive metastatic breast cancer. A mechanism of resistance involves failure to downregulate p27 (Kip1) [15] as well as suppressing p27 translocation to the nucleus in breast cancer, enabling cdk2 to induce cell proliferation.The HER2 gene (also known as HER2/neu and ErbB2 gene) is amplified in 20–30% of early-stage breast cancers[15] Trastuzumab activates p27 by simultaneously inhibiting PI3K/Akt, Mirk and hKIS pathways,[15] which makes it overexpress epidermal growth factor (EGF) receptors in the cell membrane. In some cancers, notably certain types of breast cancer, HER2 is over-expressed and causes cancer cells to reproduce uncontrollably.[15] Trastuzumab has been shown to inhibit HER2/neu ectodomain cleavage in breast cancer cells. If the breast cancer does not overexpress HER2, trastuzumab will have no beneficial effect (and may cause harm).One of the challenges in the treatment of breast cancer patients by herceptin is our understanding towards herceptin resistance.[43] This database HerceptinR is a collection of assays performed to test sensitivity or resistance of Herceptin Antibodies towards breast cancer cell lines.Since October 2006 trastuzumab has been made available for Australian women and men with early stage breast cancer via the Pharmaceutical Benefits Scheme. "Trastuzumab-containing regimens for metastatic breast cancer".^ "Editorial - Treating metastatic breast cancer: the evidence for targeted therapy | Cochrane Library". "Trastuzumab containing regimens for early breast cancer". "Trastuzumab containing regimens for early breast cancer". "Ongoing adjuvant trials with trastuzumab in breast cancer". "Development of Herceptin resistance in breast cancer cells". "Trastuzumab plus adjuvant chemotherapy for operable HER2-positive breast cancer". "Trastuzumab after adjuvant chemotherapy in HER2-positive breast cancer". "Adjuvant docetaxel or vinorelbine with or without trastuzumab for breast cancer". "PHARMAC funding of 9-week concurrent trastuzumab (Herceptin) for HER2-positive early breast cancer".^ "Final analysis of Phase III HERA trial confirmed one year of Herceptin treatment as standard of care in early-stage HER2-positive breast cancer".^ a b "Breast Cancer Care Trastuzumab factsheet" (PDF). Breast Cancer Care.^ "Breast Cancer Care Trastuzumab factsheet" (PDF). "Molecular targets for breast cancer therapy and prevention".^ a b "Targeted Therapies for Breast Cancer Tutorial". "A differential PCR assay for the detection of c-erbB 2 amplification used in a prospective study of breast cancer. Receives FDA Approval for the First Fully Automated Diagnostic Assay for HER2 Gene Status Determination in Breast Cancer Patients". "Herceptin Resistance Database for Understanding Mechanism of Resistance in Breast Cancer Patients".^ "Biotechnology Breakthrough In Breast Cancer Wins FDA Approval". "Drug Is Shown to Shrink Tumors in Breast Cancer Characterized by Gene Defect".^ Biosimilar Matches Trastuzumab in Metastatic HER2-Positive Breast Cancer. Her-2: the making of Herceptin, a revolutionary treatment for breast cancer. "The role of her2-targeted therapies in women with her2-overexpressing metastatic breast cancer"		
Trastuzumab emtansine	HER2/neu	humanized	ERBB2	Kadcyla	mab	breast cancer		Stomach, Liver, Breast	Because the monoclonal antibody targets HER2, and HER2 is only over-expressed in cancer cells, the conjugate delivers the toxin specifically to tumor cells.In the EMILIA clinical trial of women with advanced HER2 positive breast cancer who were already resistant to trastuzumab alone, it improved median overall survival by 5.In the United States, ado-trastuzumab emtansine was approved specifically for treatment of HER2-positive metastatic breast cancer (mBC) in patients who have been treated previously with trastuzumab and a taxane (paclitaxel or docetaxel), and who have already been treated for mBC or developed tumor recurrence within six months of adjuvant therapy.Approval was based on the EMILIA study, a phase III clinical trial that compared trastuzumab emtansine versus capecitabine (Xeloda) plus lapatinib (Tykerb) in 991 people with unresectable, locally advanced or metastatic HER2-positive breast cancer who had previously been treated with trastuzumab and taxane chemotherapy.First line treatment for metastatic breast cancer: the MARIANNE study[14] compares taxane (docetaxel or paclitaxel) plus trastuzumab vs T-DM1 vs T-DM1 plus pertuzumab as first-line treatment for people with HER2 positive unresectable locally advanced or metastatic breast cancer; On December 19, 2014, Roche reported the results of the MARIANNE study.a phase III trial for HER2+ gastric cancer compares T-DM1 to physician's choice of taxane (docetaxel or paclitaxel).[16] On October 22, 2015, Roche and co-developer ImmunoGen disclosed that Kadcyla had failed to meets its primary endpoint in the Phase II/III GATSBY trial investigating the second line treatment of HER2-positive advanced gastric cancer.the TH3RESA study is comparing T-DM1 vs treatment of physician's choice for people with HER2 positive metastatic breast cancer previously treated with trastuzumab and lapatinib. "Trastuzumab emtansine, an antibody-drug conjugate for the treatment of HER2+ metastatic breast cancer".^ "FDA denies accelerated approval of Genentech's trastuzumab-DM1 (T-DM1) BLA for metastatic breast cancer" (Press release). "Trastuzumab emtansine for HER2-positive advanced breast cancer".^ "New data from Phase III EMILIA study showed Roche's trastuzumab emtansine (T-DM1) significantly improved survival of people with HER2-positive metastatic breast cancer" (Press release). Approves a New Drug for Advanced Breast Cancer".^ "FDA approves new treatment for late stage breast cancer" (Press release).^ Clinical trial number NCT01120184 for "A Study of Trastuzumab Emtansine (T-DM1) Plus Pertuzumab/Pertuzumab Placebo Versus Trastuzumab (Herceptin) Plus a Taxane in Patients With Metastatic Breast Cancer (MARIANNE)" at ClinicalTrials.^ Roche provides update on Phase III MARIANNE study in people with previously untreated advanced HER2-positive breast cancer (PDF), 2014, retrieved 2015-01-16 .^ Clinical trial number NCT01641939 for "A Study of Trastuzumab Emtansine Versus Taxane in Patients With Advanced Gastric Cancer" at ClinicalTrials.^ "Roche's Kadcyla Fails Phase II/III Trial for Gastric Cancer".^ Clinical trial number NCT01419197 for "A Study of Trastuzumab Emtansine in Comparison With Treatment of Physician's Choice in Patients With HER2-Positive Breast Cancer Who Have Received at Least Two Prior Regimens of HER2-Directed Therapy (TH3RESA)" at ClinicalTrials.^ TDM-1 Heavy Hitter in Heavily Treated Breast Cancer. "NHS says no to new breast cancer drug Kadcyla".^ a b Breast cancer drug Kadcyla to remain on NHS after manufacturer lowers price.^ Pressure grows on Roche to lower breast cancer drug price.^ "NHS U-turn sees breast cancer drug Kadcyla approved for use". "Targeting HER2-positive breast cancer with trastuzumab-DM1, an antibody-cytotoxic drug conjugate"		
TRBS07	GD2 ganglioside	?		Ektomab	3funct	melanoma		Blood	SGN-CD19A is an antibody-drug conjugate (ADC) directed to CD19 designed for the treatment of CD19-positive acute lymphoblastic leukemia and B-cell non-Hodgkin lymphoma.[5] Preliminary phase I results for B-cell malignancies, including diffuse large B-cell lymphoma (DLBCL) and B-lineage acute lymphocytic leukemia (B-ALL) are being presented at the ASH medical conference Dec 2015	GD2 is a disialoganglioside expressed on tumors of neuroectodermal origin	
Tremelimumab	CTLA-4	human	CD80		mab	cancer		Skin-Head, Lung	3 Non-small cell lung cancer.Phase 1 and 2 clinical studies in metastatic melanoma showed some responses.Non-small cell lung cancer[edit].In a phase III trial, AstraZeneca paired tremelimumab with a PD-L1 inhibitor, durvalumab, for the first-line treatment of non-small cell lung cancer. "Targeting metastatic melanoma". "Biologic and immunomodulatory events after CTLA-4 blockade with tremelimumab in patients with advanced malignant melanoma".com/biotech/astrazeneca-hit-by-mystic-lung-cancer-pfs-failure.com/media-centre/press-releases/2017/astrazeneca-reports-initial-results-from-the-ongoing-mystic-trial-in-stage-iv-lung-cancer-27072017		
Tucotuzumab celmoleukin[45][108]	EpCAM	humanized	EPCAM		mab	cancer		cancer	Tucotuzumab celmoleukin is an anti-cancer drug.^ National Cancer Institute: Definition of tucotuzumab celmoleukin		
Ublituximab[21]		chimeric	MS4A1		mab	cancer		Blood	Ublituximab is a glycoengineered monoclonal antibody that targets a specific epitope on the CD20 antigen found on mature B-lymphocytes. https://www.ptcommunity.com/news/20170307/ublituximab-succeeds-phase-3-leukemia-trial  TG-1101 (ublituximab) is a monoclonal antibody that targets a unique epitope on the B-lymphocyte CD20 antigen.  TG-1101 (ublituximab) has been bioengineered to deliver enhanced clinical activity and potency. Developed for the treatment of B-cell proliferative disorders, including Non-Hodgkin's Lymphoma ("NHL") and Chronic Lymphocytic Leukemia ("CLL"), anti-CD20 antibodies target and aid in the depletion of B-lymphocytes. Anti-CD20 antibodies have also been shown to be effective in treating select autoimmune diseases such as Rheumatoid Arthritis ("RA") and Systemic Lupus Erythematosus ("SLE"), along with the neurological disorder Multiple Sclerosis ("MS").   http://www.tgtherapeutics.com/pipeline/TGTX-1101.cfm       		
Ulocuplumab[147]	CXCR4 (CD184)	human	CXCR4		mab	hematologic malignancies		Blood	[1][3] As of 2016, a phase 1/2 clinical trial in people with non-Hodgkin lymphoma was underway. "Anti-CD37 antibodies for chronic lymphocytic leukemia". Treatment of lymphoma with targeted internal radiation therapy (Betalutin) . "Biodistribution and dosimetry of (177)Lu-tetulomab, a new radioimmunoconjugate for treatment of non-Hodgkin lymphoma"		
Urelumab[148]	4-1BB (CD137)	human	TNFRSF9		mab	cancer etc.		Skin-Head, Colon-Small_intestine	Current clinical trials combine urelumab with chemotherapy (NCT00351325), chemoradiation (NCT00461110), ipilimumab (NCT00803374), rituximab (NCT01775631, NCT02420938), cetuximab (NCT02110082), and elotuzumab (NCT02252263), nivolumab (NCT02253992) for metastatic solid tumors, NSCLC, melanoma, B-cell non-Hodgkin lymphoma, colorectal cancer, and multiple myeloma		
Utomilumab[32]	4-1BB (CD137)	human	TNFRSF9		mab	cancer		Blood	Utomilumab (PF-05082566) targets this receptor to stimulate a more intense immune system attack on cancers.^ a b Pfizer cancer drug shows promise in combo with Merck's Keytruda. "Biochemical and immunological characteristics of 4-1BB (CD137) receptor and ligand and potential applications in cancer therapy".Leukemia/leukocyte inhibitory factor (LIF)		
Vandortuzumab vedotin[20]		humanized	STEAP1		mab	cancer		Blood	The drug was created by Tanox under the name TNX-650, and a phase I clinical trial for refractory Hodgkin’s lymphoma had been performed when Genentech acquired Tanox in 2007.^ Clinical trial number NCT00441818 for "Safety and Efficacy Study of TNX-650 to Treat Refractory Hodgkin's Lymphoma" at ClinicalTrials		
Vantictumab[149]	Frizzled receptor	human			mab	cancer		Lung, Breast, Pancreas	Phase I trials have been completed for pancreatic cancer, non-small cell lung cancer, and breast cancer. In 2016 results were reported from a phase 1b clinical trial for triple-negative breast cancer.^ a b Finally, targeted therapies for triple-negative breast cancer	Frizzled receptor includes like 10+ genes	
Vanucizumab	angiopoietin 2	humanized	ANGPT2		mab	cancer	Lung	cancer	Vanucizumab (INN) is a humanized monoclonal antibody designed for the treatment of cancer		
Varlilumab[150]		human	CD27		mab	solid tumors and hematologic malignancies		Ovary, Breast, Blood	It (in combination with ONT-10) has undergone a phase 1B clinical trial for advanced breast or ovarian cancer.^ Varlilumab-Opdivo Combo Stabilizes or Shrinks Tumors in 80% of Solid-cancer Patients, Trial Shows.^ Study of ONT-10 and Varlilumab to Treat Advanced Ovarian or Breast Cancer.Leukemia/leukocyte inhibitory factor (LIF)		
Veltuzumab[10]	CD20	humanized	MS4A1		mab	non-Hodgkin's lymphoma		Blood	Veltuzumab is a monoclonal antibody (targeted at CD20) which is being investigated for the treatment of non-Hodgkin's lymphoma. "CD20-targeted tetrameric interferon- , a novel and potent immunocytokine for the therapy of B-cell lymphomas". "The combination of milatuzumab, a humanized anti-CD74 antibody, and veltuzumab, a humanized anti-CD20 antibody, demonstrates activity in patients with relapsed and refractory B-cell non-Hodgkin lymphoma"		
Vesencumab[21]		human	NRP1		mab	solid malignancies		Nervous?	Vesencumab is an immunomodulator designed for the treatment of solid malignancies.[1] It binds to neuropilin 1.[2]  https://en.wikipedia.org/wiki/Vesencumab		
Volociximab	integrin α5β1	chimeric			mab	solid tumors		Kidney	Early results show potential in renal cell cancers	Alpha 5 AND beta 1? Can't find an alpha-5-beta-1 integrin gene	
Vorsetuzumab mafodotin[151]		humanized	CD70		mab	cancer		Kidney	The drug completed phase I clinical trials for renal cell carcinoma,[2] but development was discontinued in 2013		
Votumumab	tumor antigen CTAA16.88	human		HumaSPECT	mab	colorectal tumors		Colon-Small_intestine	[1] It was developed for the detection of colorectal tumors, but has never been marketed.88, a complex of cytokeratin polypeptides in the molecular weight range of 35 to 43 kDa, which is expressed in colorectal tumors	The target of votumumab is CTAA16.88, a complex of cytokeratin polypeptides in the molecular weight range of 35 to 43 kDa, which is expressed in colorectal tumors.[3]	
Zalutumumab[22]		human	EGFR	HuMax-EGFr	mab	squamous cell carcinoma of the head and neck		Skin-Head	Specifically, zalutumumab is designed for the treatment of squamous cell carcinoma of the head and neck (SCCHN), a type of cancer		
Zatuximab[51]	HER1	chimeric	EGFR		mab	cancer		cancer	Zatuximab (INN) is a chimeric monoclonal antibody designed for the treatment of cancer		
